"","kingdom","phylum","class","order","family","genus"
"37f9d95d321438477967281dcfa4efc1","Bacteria","Firmicutes","Bacilli","Staphylococcales","Staphylococcaceae","Staphylococcus"
"cf0b071a6c4379929a752da49f50d82d","Bacteria","Firmicutes","Bacilli","Staphylococcales","Staphylococcaceae","Staphylococcus"
"0fa481957525a80964121165c280f20f","Bacteria","Proteobacteria","Gammaproteobacteria","Pseudomonadales","Pseudomonadaceae","Pseudomonas"
"c1f3db7b438bb005b1a070738d34b223","Bacteria","Proteobacteria","Gammaproteobacteria","Pseudomonadales","Pseudomonadaceae","Pseudomonas"
"46f53a2cfdbbcab346718fa49070a734","Bacteria","Firmicutes","Bacilli","Lactobacillales","Streptococcaceae","Streptococcus"
"e67e77e1bd9027aabdad51ff3c4ad69a","Bacteria","Firmicutes","Bacilli","Lactobacillales","Streptococcaceae","Streptococcus"
"ac82bfa24845d830156ad45c88684651","Bacteria","Proteobacteria","Gammaproteobacteria","Enterobacterales","Enterobacteriaceae","Escherichia-Shigella"
"9922f69a59521b27a40851718d820b0a","Bacteria","Firmicutes","Bacilli","Lactobacillales","Streptococcaceae","Streptococcus"
"87e16f924793344aa701ca44715e9b9a","Bacteria","Proteobacteria","Gammaproteobacteria","Enterobacterales","Enterobacteriaceae","Escherichia-Shigella"
"cfea97492e6a27c95936e873bbf6fe27","Bacteria","Firmicutes","Bacilli","Lactobacillales","Streptococcaceae","Streptococcus"
"6ccafd206e11a3d3198d6edf780e3875","Bacteria","Firmicutes","Bacilli","Bacillales","Bacillaceae","Bacillus"
"4cf14b1ffaae28275309be8c7d52bdd2","Bacteria","Firmicutes","Bacilli","Lactobacillales","Streptococcaceae","Streptococcus"
"39284cb27289bc4411660e7d308e587a","Bacteria","Firmicutes","Bacilli","Lactobacillales","Streptococcaceae","Streptococcus"
"a930ba4a7ad918a3858e759505f50535","Bacteria","Firmicutes","Bacilli","Bacillales","Bacillaceae","Bacillus"
"b3bd495357d1eb8c6c8aa2953dcf0fb5","Bacteria","Actinobacteriota","Actinobacteria","Micrococcales","Micrococcaceae","Rothia"
"5f29d043bc53ad90a02d787d8798a4d2","Bacteria","Proteobacteria","Gammaproteobacteria","Burkholderiales","Alcaligenaceae","Unassigned"
"5d2d919c8bdac820ff7b34ae90bba900","Bacteria","Firmicutes","Negativicutes","Veillonellales-Selenomonadales","Veillonellaceae","Veillonella"
"f9eceab31ecee13abe8ca5fe3247d23f","Bacteria","Bacteroidota","Bacteroidia","Chitinophagales","Chitinophagaceae","Asinibacterium"
"d64318b74d89f1d06bdcc59f4b38350f","Bacteria","Actinobacteriota","Actinobacteria","Micrococcales","Micrococcaceae","Rothia"
"c55ff1e39ffe31c8ba6ca119d231c254","Bacteria","Actinobacteriota","Actinobacteria","Micrococcales","Micrococcaceae","Rothia"
"bb97629a29b84fda9e8375b6a65599bc","Bacteria","Actinobacteriota","Actinobacteria","Micrococcales","Micrococcaceae","Rothia"
"e5124aa5d27dfc7ea148f709a8a5ece2","Bacteria","Firmicutes","Negativicutes","Veillonellales-Selenomonadales","Veillonellaceae","Veillonella"
"62bfd7c3062216167e69dfc5fc14d7ad","Bacteria","Proteobacteria","Gammaproteobacteria","Burkholderiales","Alcaligenaceae","Unassigned"
"049692341bf40525b0b0624b27765a36","Bacteria","Bacteroidota","Bacteroidia","Chitinophagales","Chitinophagaceae","Asinibacterium"
"cd135fb20c2211f0ac728a6d0d510777","Bacteria","Actinobacteriota","Actinobacteria","Micrococcales","Micrococcaceae","Rothia"
"ecbf2c4bc21e60b6e473b9203346d94f","Bacteria","Firmicutes","Bacilli","Staphylococcales","Gemellaceae","Gemella"
"06593082086dd38160cc8667e9e3e514","Bacteria","Actinobacteriota","Actinobacteria","Micrococcales","Micrococcaceae","Rothia"
"70bd93dbaa5cf6f75ba2c24529263741","Bacteria","Proteobacteria","Gammaproteobacteria","Burkholderiales","Neisseriaceae","Neisseria"
"1dc6d554b6365819d7a69ca084fc5d65","Bacteria","Firmicutes","Bacilli","Staphylococcales","Gemellaceae","Gemella"
